# x_m,y_m,w_tr_right_m,w_tr_left_m
6.400044, 14.049776, 1.000000, 1.000000
6.361737, 14.009147, 1.000000, 1.000000
6.309352, 13.998301, 1.000000, 1.000000
6.252662, 14.000542, 1.000000, 1.000000
6.197101, 13.999467, 1.000000, 1.000000
6.140245, 14.001681, 1.000000, 1.000000
6.088717, 13.990981, 1.000000, 1.000000
6.049461, 13.950670, 1.000000, 1.000000
5.994009, 13.949458, 1.000000, 1.000000
5.936930, 13.952172, 1.000000, 1.000000
5.886584, 13.938632, 1.000000, 1.000000
5.846855, 13.899460, 1.000000, 1.000000
5.790588, 13.900215, 1.000000, 1.000000
5.734926, 13.899509, 1.000000, 1.000000
5.677602, 13.902815, 1.000000, 1.000000
5.630319, 13.881880, 1.000000, 1.000000
5.588836, 13.846943, 1.000000, 1.000000
5.530330, 13.853103, 1.000000, 1.000000
5.482282, 13.834013, 1.000000, 1.000000
5.441311, 13.797841, 1.000000, 1.000000
5.384257, 13.800493, 1.000000, 1.000000
5.328743, 13.799430, 1.000000, 1.000000
5.271284, 13.803063, 1.000000, 1.000000
5.226233, 13.776738, 1.000000, 1.000000
5.182676, 13.746807, 1.000000, 1.000000
5.125064, 13.750809, 1.000000, 1.000000
5.069561, 13.749718, 1.000000, 1.000000
5.013586, 13.749769, 1.000000, 1.000000
4.956848, 13.751661, 1.000000, 1.000000
4.916351, 13.714341, 1.000000, 1.000000
4.867413, 13.697403, 1.000000, 1.000000
4.810011, 13.700896, 1.000000, 1.000000
4.754732, 13.699266, 1.000000, 1.000000
4.698032, 13.701066, 1.000000, 1.000000
4.644347, 13.695586, 1.000000, 1.000000
4.605580, 13.654091, 1.000000, 1.000000
4.551577, 13.649380, 1.000000, 1.000000
4.495429, 13.649847, 1.000000, 1.000000
4.438711, 13.651690, 1.000000, 1.000000
4.387601, 13.639993, 1.000000, 1.000000
4.348174, 13.600094, 1.000000, 1.000000
4.292448, 13.599541, 1.000000, 1.000000
4.235347, 13.602308, 1.000000, 1.000000
4.185501, 13.587563, 1.000000, 1.000000
4.145464, 13.549133, 1.000000, 1.000000
4.089300, 13.549641, 1.000000, 1.000000
4.032065, 13.552726, 1.000000, 1.000000
3.983673, 13.534475, 1.000000, 1.000000
3.942339, 13.499236, 1.000000, 1.000000
3.888195, 13.494458, 1.000000, 1.000000
3.850509, 13.450968, 1.000000, 1.000000
3.812338, 13.409836, 1.000000, 1.000000
3.765549, 13.374095, 1.000000, 1.000000
3.750758, 13.324025, 1.000000, 1.000000
3.729103, 13.277048, 1.000000, 1.000000
3.696399, 13.234654, 1.000000, 1.000000
3.703603, 13.175709, 1.000000, 1.000000
3.679516, 13.129734, 1.000000, 1.000000
3.649301, 13.086294, 1.000000, 1.000000
3.638422, 13.034846, 1.000000, 1.000000
3.599108, 12.995176, 1.000000, 1.000000
3.599607, 12.939015, 1.000000, 1.000000
3.602663, 12.881794, 1.000000, 1.000000
3.585020, 12.833148, 1.000000, 1.000000
3.547754, 12.792629, 1.000000, 1.000000
3.552537, 12.734693, 1.000000, 1.000000
3.537376, 12.685018, 1.000000, 1.000000
3.498381, 12.645216, 1.000000, 1.000000
3.502142, 12.587704, 1.000000, 1.000000
3.489407, 12.537024, 1.000000, 1.000000
3.449730, 12.497504, 1.000000, 1.000000
3.449611, 12.441599, 1.000000, 1.000000
3.452385, 12.384496, 1.000000, 1.000000
3.436931, 12.334942, 1.000000, 1.000000
3.398798, 12.294782, 1.000000, 1.000000
3.400231, 12.238234, 1.000000, 1.000000
3.400144, 12.182316, 1.000000, 1.000000
3.399321, 12.126702, 1.000000, 1.000000
3.403171, 12.069153, 1.000000, 1.000000
3.374824, 12.024940, 1.000000, 1.000000
3.346925, 11.980542, 1.000000, 1.000000
3.350574, 11.923076, 1.000000, 1.000000
3.349495, 11.867568, 1.000000, 1.000000
3.352390, 11.810414, 1.000000, 1.000000
3.317472, 11.768923, 1.000000, 1.000000
3.297151, 11.721385, 1.000000, 1.000000
3.300678, 11.663970, 1.000000, 1.000000
3.299681, 11.608428, 1.000000, 1.000000
3.300429, 11.552163, 1.000000, 1.000000
3.297732, 11.497328, 1.000000, 1.000000
3.256907, 11.458251, 1.000000, 1.000000
3.248064, 11.406042, 1.000000, 1.000000
3.250927, 11.348818, 1.000000, 1.000000
3.249890, 11.293257, 1.000000, 1.000000
3.250022, 11.237698, 1.000000, 1.000000
3.248249, 11.180390, 1.000000, 1.000000
3.262560, 11.130745, 1.000000, 1.000000
3.307707, 11.093342, 1.000000, 1.000000
3.346777, 11.053589, 1.000000, 1.000000
3.384856, 11.013415, 1.000000, 1.000000
3.430157, 10.976226, 1.000000, 1.000000
3.452516, 10.929519, 1.000000, 1.000000
3.449459, 10.872309, 1.000000, 1.000000
3.449938, 10.816579, 1.000000, 1.000000
3.450124, 10.760670, 1.000000, 1.000000
3.450082, 10.704662, 1.000000, 1.000000
3.450005, 10.648681, 1.000000, 1.000000
3.449947, 10.592741, 1.000000, 1.000000
3.449919, 10.536817, 1.000000, 1.000000
3.449931, 10.480884, 1.000000, 1.000000
3.449992, 10.424919, 1.000000, 1.000000
3.450080, 10.368925, 1.000000, 1.000000
3.450133, 10.312935, 1.000000, 1.000000
3.450089, 10.256985, 1.000000, 1.000000
3.449885, 10.201108, 1.000000, 1.000000
3.449459, 10.145340, 1.000000, 1.000000
3.452046, 10.088342, 1.000000, 1.000000
3.439610, 10.037466, 1.000000, 1.000000
3.399880, 9.997995, 1.000000, 1.000000
3.400200, 9.942082, 1.000000, 1.000000
3.399628, 9.885780, 1.000000, 1.000000
3.400481, 9.830389, 1.000000, 1.000000
3.400280, 9.774245, 1.000000, 1.000000
3.397115, 9.716991, 1.000000, 1.000000
3.426178, 9.673106, 1.000000, 1.000000
3.453285, 9.628352, 1.000000, 1.000000
3.450760, 9.571356, 1.000000, 1.000000
3.449161, 9.514742, 1.000000, 1.000000
3.449165, 9.458789, 1.000000, 1.000000
3.450004, 9.403180, 1.000000, 1.000000
3.450912, 9.347600, 1.000000, 1.000000
3.450668, 9.291544, 1.000000, 1.000000
3.446764, 9.233981, 1.000000, 1.000000
3.463808, 9.185060, 1.000000, 1.000000
3.501160, 9.144591, 1.000000, 1.000000
3.499741, 9.088140, 1.000000, 1.000000
3.499900, 9.032072, 1.000000, 1.000000
3.500260, 8.976244, 1.000000, 1.000000
3.500152, 8.920346, 1.000000, 1.000000
3.499850, 8.864398, 1.000000, 1.000000
3.499625, 8.808421, 1.000000, 1.000000
3.499703, 8.752435, 1.000000, 1.000000
3.500013, 8.696450, 1.000000, 1.000000
3.500368, 8.640476, 1.000000, 1.000000
3.500583, 8.584519, 1.000000, 1.000000
3.500471, 8.528588, 1.000000, 1.000000
3.499866, 8.472689, 1.000000, 1.000000
3.499072, 8.416796, 1.000000, 1.000000
3.498880, 8.360850, 1.000000, 1.000000
3.500104, 8.304789, 1.000000, 1.000000
3.503556, 8.248551, 1.000000, 1.000000
3.492296, 8.193408, 1.000000, 1.000000
3.451249, 8.152656, 1.000000, 1.000000
3.496933, 8.149861, 1.000000, 1.000000
3.553723, 8.148216, 1.000000, 1.000000
3.592365, 8.108571, 1.000000, 1.000000
3.636488, 8.068924, 1.000000, 1.000000
3.652071, 8.020271, 1.000000, 1.000000
3.649682, 7.963190, 1.000000, 1.000000
3.650082, 7.907419, 1.000000, 1.000000
3.650094, 7.851467, 1.000000, 1.000000
3.690161, 7.812108, 1.000000, 1.000000
3.701775, 7.760966, 1.000000, 1.000000
3.699598, 7.704109, 1.000000, 1.000000
3.700085, 7.648356, 1.000000, 1.000000
3.700017, 7.592374, 1.000000, 1.000000
3.699947, 7.536390, 1.000000, 1.000000
3.700041, 7.480475, 1.000000, 1.000000
3.700033, 7.424517, 1.000000, 1.000000
3.699970, 7.368536, 1.000000, 1.000000
3.699933, 7.312566, 1.000000, 1.000000
3.700002, 7.256640, 1.000000, 1.000000
3.700165, 7.200753, 1.000000, 1.000000
3.699881, 7.144681, 1.000000, 1.000000
3.699819, 7.088700, 1.000000, 1.000000
3.700845, 7.033171, 1.000000, 1.000000
3.696774, 6.975530, 1.000000, 1.000000
3.719956, 6.929178, 1.000000, 1.000000
3.752774, 6.886817, 1.000000, 1.000000
3.749473, 6.829495, 1.000000, 1.000000
3.749831, 6.773689, 1.000000, 1.000000
3.750342, 6.717946, 1.000000, 1.000000
3.750118, 6.661898, 1.000000, 1.000000
3.749566, 6.605715, 1.000000, 1.000000
3.749662, 6.549800, 1.000000, 1.000000
3.750741, 6.494293, 1.000000, 1.000000
3.750548, 6.438258, 1.000000, 1.000000
3.746670, 6.380697, 1.000000, 1.000000
3.766204, 6.332834, 1.000000, 1.000000
3.801849, 6.291644, 1.000000, 1.000000
3.799845, 6.234859, 1.000000, 1.000000
3.799604, 6.178805, 1.000000, 1.000000
3.800333, 6.123152, 1.000000, 1.000000
3.799917, 6.067025, 1.000000, 1.000000
3.800220, 6.011196, 1.000000, 1.000000
3.798959, 5.954719, 1.000000, 1.000000
3.837229, 5.914617, 1.000000, 1.000000
3.852539, 5.865004, 1.000000, 1.000000
3.849127, 5.807636, 1.000000, 1.000000
3.850319, 5.752175, 1.000000, 1.000000
3.850236, 5.696186, 1.000000, 1.000000
3.848317, 5.639436, 1.000000, 1.000000
3.859545, 5.588133, 1.000000, 1.000000
3.899635, 5.548784, 1.000000, 1.000000
3.900498, 5.493187, 1.000000, 1.000000
3.897764, 5.436100, 1.000000, 1.000000
3.911877, 5.385991, 1.000000, 1.000000
3.950744, 5.346136, 1.000000, 1.000000
3.949933, 5.289845, 1.000000, 1.000000
3.949678, 5.233785, 1.000000, 1.000000
3.950847, 5.178315, 1.000000, 1.000000
3.946737, 5.120657, 1.000000, 1.000000
3.973862, 5.075939, 1.000000, 1.000000
4.003047, 5.032073, 1.000000, 1.000000
4.000030, 4.974868, 1.000000, 1.000000
3.996884, 4.917611, 1.000000, 1.000000
4.026475, 4.873913, 1.000000, 1.000000
4.053643, 4.829212, 1.000000, 1.000000
4.046229, 4.770186, 1.000000, 1.000000
4.075124, 4.726200, 1.000000, 1.000000
4.100344, 4.680692, 1.000000, 1.000000
4.116638, 4.631487, 1.000000, 1.000000
4.150454, 4.589539, 1.000000, 1.000000
4.160043, 4.537557, 1.000000, 1.000000
4.199268, 4.497850, 1.000000, 1.000000
4.204129, 4.443909, 1.000000, 1.000000
4.245847, 4.405234, 1.000000, 1.000000
4.250200, 4.351083, 1.000000, 1.000000
4.253009, 4.296292, 1.000000, 1.000000
4.294836, 4.257664, 1.000000, 1.000000
4.300285, 4.203960, 1.000000, 1.000000
4.338493, 4.163852, 1.000000, 1.000000
4.349516, 4.112436, 1.000000, 1.000000
4.381902, 4.069769, 1.000000, 1.000000
4.398932, 4.021523, 1.000000, 1.000000
4.429077, 3.974372, 1.000000, 1.000000
4.438181, 3.933768, 1.000000, 1.000000
4.402569, 3.899200, 1.000000, 1.000000
4.461220, 3.899684, 1.000000, 1.000000
4.518174, 3.902570, 1.000000, 1.000000
4.566510, 3.885216, 1.000000, 1.000000
4.607248, 3.847794, 1.000000, 1.000000
4.665076, 3.852521, 1.000000, 1.000000
4.714802, 3.837408, 1.000000, 1.000000
4.754760, 3.798808, 1.000000, 1.000000
4.811349, 3.800341, 1.000000, 1.000000
4.866946, 3.799476, 1.000000, 1.000000
4.924331, 3.802930, 1.000000, 1.000000
4.970930, 3.780344, 1.000000, 1.000000
5.012949, 3.746701, 1.000000, 1.000000
5.071627, 3.753276, 1.000000, 1.000000
5.119007, 3.732574, 1.000000, 1.000000
5.160472, 3.697592, 1.000000, 1.000000
5.217382, 3.699900, 1.000000, 1.000000
5.274625, 3.703011, 1.000000, 1.000000
5.321034, 3.679967, 1.000000, 1.000000
5.363450, 3.647279, 1.000000, 1.000000
5.420498, 3.649921, 1.000000, 1.000000
5.477773, 3.653107, 1.000000, 1.000000
5.523083, 3.627410, 1.000000, 1.000000
5.566453, 3.597027, 1.000000, 1.000000
5.623624, 3.599965, 1.000000, 1.000000
5.680888, 3.603126, 1.000000, 1.000000
5.725073, 3.574712, 1.000000, 1.000000
5.769528, 3.546949, 1.000000, 1.000000
5.826979, 3.550562, 1.000000, 1.000000
5.882498, 3.549510, 1.000000, 1.000000
5.939630, 3.552352, 1.000000, 1.000000
5.981153, 3.517512, 1.000000, 1.000000
6.028663, 3.497125, 1.000000, 1.000000
6.085906, 3.500236, 1.000000, 1.000000
6.142470, 3.501707, 1.000000, 1.000000
6.183213, 3.464981, 1.000000, 1.000000
6.231879, 3.447387, 1.000000, 1.000000
6.289048, 3.450317, 1.000000, 1.000000
6.345273, 3.450971, 1.000000, 1.000000
6.385270, 3.412447, 1.000000, 1.000000
6.435206, 3.397916, 1.000000, 1.000000
6.492127, 3.400248, 1.000000, 1.000000
6.548140, 3.400389, 1.000000, 1.000000
6.602823, 3.397319, 1.000000, 1.000000
6.641586, 3.355816, 1.000000, 1.000000
6.695099, 3.349920, 1.000000, 1.000000
6.735400, 3.312130, 1.000000, 1.000000
6.786563, 3.300563, 1.000000, 1.000000
6.829965, 3.270258, 1.000000, 1.000000
6.876030, 3.246381, 1.000000, 1.000000
6.934951, 3.253543, 1.000000, 1.000000
6.977677, 3.221607, 1.000000, 1.000000
7.023151, 3.196305, 1.000000, 1.000000
7.082179, 3.203723, 1.000000, 1.000000
7.125798, 3.173943, 1.000000, 1.000000
7.170291, 3.146273, 1.000000, 1.000000
7.229326, 3.153709, 1.000000, 1.000000
7.273943, 3.126338, 1.000000, 1.000000
7.317649, 3.096768, 1.000000, 1.000000
7.375287, 3.100832, 1.000000, 1.000000
7.430773, 3.099701, 1.000000, 1.000000
7.486775, 3.099817, 1.000000, 1.000000
7.543425, 3.101489, 1.000000, 1.000000
7.584072, 3.064558, 1.000000, 1.000000
7.632734, 3.046913, 1.000000, 1.000000
7.690314, 3.050843, 1.000000, 1.000000
7.746051, 3.050379, 1.000000, 1.000000
7.801469, 3.049025, 1.000000, 1.000000
7.858632, 3.051733, 1.000000, 1.000000
7.910091, 3.042289, 1.000000, 1.000000
7.949619, 3.000560, 1.000000, 1.000000
8.003667, 3.003205, 1.000000, 1.000000
8.042581, 3.045228, 1.000000, 1.000000
8.096002, 3.050214, 1.000000, 1.000000
8.136903, 3.086762, 1.000000, 1.000000
8.186009, 3.103315, 1.000000, 1.000000
8.243546, 3.099460, 1.000000, 1.000000
8.299708, 3.098966, 1.000000, 1.000000
8.355183, 3.100137, 1.000000, 1.000000
8.410730, 3.101119, 1.000000, 1.000000
8.467105, 3.100095, 1.000000, 1.000000
8.524633, 3.096299, 1.000000, 1.000000
