# x_m,y_m,w_tr_right_m,w_tr_left_m
-2.3700,-0.2500,0.8732,0.8732
-2.3200,-0.2500,0.8860,0.8860
-2.2700,-0.2500,0.9000,0.9000
-2.2200,-0.2500,0.9000,0.9000
-2.1700,-0.2500,0.9000,0.9000
-2.1200,-0.2500,0.9000,0.9000
-2.0700,-0.2500,0.9000,0.9000
-2.0200,-0.2500,0.9000,0.9000
-1.9700,-0.2500,0.9000,0.9000
-1.9200,-0.2500,0.9000,0.9000
-1.8700,-0.2500,0.9000,0.9000
-1.8200,-0.3000,0.8515,0.8515
-1.7700,-0.3000,0.8515,0.8515
-1.7200,-0.3000,0.8500,0.8500
-1.6700,-0.3000,0.8500,0.8500
-1.6200,-0.3000,0.8515,0.8515
-1.5700,-0.3000,0.8500,0.8500
-1.5200,-0.3000,0.8500,0.8500
-1.4700,-0.3000,0.8500,0.8500
-1.4200,-0.3000,0.8500,0.8500
-1.3700,-0.3000,0.8500,0.8500
-1.3200,-0.3000,0.8500,0.8500
-1.2700,-0.3000,0.8500,0.8500
-1.2200,-0.2500,0.8500,0.8500
-1.1700,-0.2500,0.8500,0.8500
-1.1200,-0.2500,0.8500,0.8500
-1.0700,-0.2500,0.8500,0.8500
-1.0200,-0.2500,0.8500,0.8500
-0.9700,-0.2500,0.8500,0.8500
-0.9200,-0.2500,0.8500,0.8500
-0.8700,-0.2500,0.8500,0.8500
-0.8200,-0.2500,0.8500,0.8500
-0.7700,-0.2500,0.8500,0.8500
-0.7200,-0.2500,0.8500,0.8500
-0.6700,-0.2500,0.8500,0.8500
-0.6200,-0.2500,0.8500,0.8500
-0.5700,-0.2500,0.8500,0.8500
-0.5200,-0.2500,0.8500,0.8500
-0.4700,-0.2500,0.8500,0.8500
-0.4200,-0.2000,0.8016,0.8016
-0.3700,-0.2000,0.8062,0.8062
-0.3200,-0.2000,0.8139,0.8139
-0.2700,-0.2000,0.8246,0.8246
-0.2200,-0.2000,0.8382,0.8382
-0.1700,-0.2000,0.8500,0.8500
-0.1200,-0.2000,0.8500,0.8500
-0.0700,-0.2000,0.8500,0.8500
-0.0200,-0.2000,0.8382,0.8382
0.0300,-0.2000,0.8246,0.8246
0.0800,-0.2000,0.8139,0.8139
0.1300,-0.2000,0.8062,0.8062
0.1800,-0.1500,0.8016,0.8016
0.2300,-0.1500,0.8000,0.8000
0.2800,-0.1500,0.8000,0.8000
